Date,Open,High,Low,Close,Volume,Adj Close
2015-12-01,46.93,47.50,44.240002,46.959999,2321800,46.959999
2015-11-02,47.290001,48.389999,46.049999,46.68,1589700,46.68
2015-10-01,44.41,48.779999,44.130001,47.509998,2321800,47.230938
2015-09-01,44.200001,47.860001,43.299999,44.470001,2604600,44.208797
2015-08-03,48.299999,48.619999,42.759998,45.23,2533800,44.964329
2015-07-01,45.41,49.369999,43.950001,48.459999,2062400,47.866329
2015-06-01,45.18,46.849998,44.259998,44.77,2323700,44.221535
2015-05-01,45.009998,46.110001,44.32,44.990002,3113200,44.161285
2015-04-01,44.50,46.639999,44.110001,44.939999,3193700,44.112206
2015-03-02,44.75,45.169998,42.23,44.57,2986900,43.74902
2015-02-02,43.59,46.709999,42.93,45.209999,2521200,44.130417
2015-01-02,45.040001,45.25,41.919998,43.560001,2774200,42.519821
